,words,count
0,pizza,24674
1,good,16786
2,great,16121
3,place,15911
4,food,14016
5,service,10826
6,austin,9890
7,like,9759
8,back,9531
9,time,9446
10,one,9350
11,get,8929
12,best,8709
13,go,8488
14,really,8384
15,delicious,8220
16,also,7518
17,would,7502
18,order,6829
19,love,6774
20,ordered,6632
21,crust,6593
22,got,6295
23,nice,6193
24,definitely,6115
25,well,6107
26,try,6093
27,amazing,6057
28,im,5996
29,cheese,5969
30,ive,5931
31,dont,5699
32,friendly,5680
33,even,5603
34,staff,5582
35,little,5414
36,sauce,5190
37,us,5098
38,slice,4836
39,always,4824
40,wait,4742
41,first,4740
42,fresh,4599
43,came,4512
44,menu,4455
45,restaurant,4426
46,pretty,4377
47,recommend,4371
48,come,4351
49,made,4348
50,beer,4316
51,night,4291
52,make,4289
53,bar,4228
54,favorite,4154
55,much,4135
56,people,4087
57,salad,4085
58,didnt,4059
59,went,4055
60,eat,4026
61,better,4004
62,could,3986
63,pizzas,3940
64,experience,3836
65,ever,3823
66,home,3789
67,right,3717
68,never,3696
69,two,3582
70,happy,3553
71,atmosphere,3549
72,super,3548
73,new,3543
74,way,3536
75,perfect,3493
76,everything,3458
77,cant,3457
78,style,3396
79,want,3394
80,tried,3382
81,know,3372
82,say,3318
83,awesome,3295
84,sure,3295
85,drinks,3287
86,still,3277
87,next,3225
88,hour,3217
89,think,3210
90,worth,3175
91,take,3147
92,going,3099
93,pepperoni,3041
94,around,3032
95,spot,3025
96,table,3007
97,bit,3006
98,every,2953
99,chicken,2929
100,small,2905
101,day,2869
102,area,2851
103,outside,2850
104,thin,2842
105,tasty,2794
106,italian,2789
107,since,2775
108,give,2768
109,long,2748
110,though,2747
111,side,2723
112,times,2721
113,location,2709
114,youre,2697
115,toppings,2686
116,dinner,2665
117,flavor,2653
118,friends,2641
119,wasnt,2629
120,lot,2619
121,top,2614
122,seating,2609
123,minutes,2603
124,excellent,2594
125,said,2581
126,2,2571
127,bread,2547
128,lunch,2546
129,taste,2539
130,enough,2539
131,loved,2513
132,something,2495
133,inside,2462
134,wine,2458
135,large,2453
136,crispy,2450
137,took,2434
138,5,2429
139,find,2425
140,meal,2417
141,many,2399
142,places,2398
143,thing,2370
144,big,2365
145,another,2352
146,town,2343
147,drink,2335
148,bad,2331
149,last,2329
150,slices,2326
151,garlic,2323
